Master Record Number,Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
902300385,2014,9,1,Weekend,1400,1-Car,No injury/unknown,ACCELERATOR FAILURE OR DEFECTIVE,SR37N,39.26891991,-86.52287428
902291690,2014,9,5,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SAMPLE & SR37N,39.26890488,-86.52287361
902203777,2014,3,1,Weekend,300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E SAMPLE & SR37N,39.2686304,-86.52286144
902196232,2014,3,2,Weekday,1700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E ANDERSON RD,39.2676891,-86.48645667
902157873,2014,1,7,Weekend,2300,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,SAMPLE & SR37S,39.26766969,-86.52281888
902297521,2014,9,1,Weekend,1500,Moped/Motorcycle,Non-incapacitating,RAN OFF ROAD RIGHT,COYLE & SHILO RD,39.26735305,-86.44578108
902361805,2014,12,4,Weekday,1000,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR46W & STINESVILLE,39.26681667,-86.66570028
902329789,2014,11,7,Weekend,0,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SAMPLE & SR37N,39.26670898,-86.52277632
902285908,2014,8,1,Weekend,1100,1-Car,Non-incapacitating,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,COWDEN RD & MT TABOR,39.2667052,-86.6212264
902316733,2014,10,7,Weekend,400,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR46W & STINESVILLE,39.26631271,-86.66517575
902269477,2014,7,4,Weekday,1100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,E ANDERSON RD & N OLD STATE ROAD 37,39.266,-86.501696
902277274,2014,8,6,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E ANDERSON RD & N OLD STATE ROAD 37,39.266,-86.501696
902306681,2014,10,5,Weekday,1100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E ANDERSON RD & N OLD STATE 37,39.266,-86.501696
902161507,2014,1,4,Weekday,1900,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,ANDERSON RD & DORA,39.26592158,-86.49001527
902297294,2014,9,2,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N WAYPORT & SR37S,39.26576946,-86.52273805
902213542,2014,4,1,Weekend,500,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,45 46 BYPASS & NORTH WALNUT ST,39.26568238,-86.53453968
902286699,2014,8,1,Weekend,1600,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,NORTH MAPLE GROVE RD & WEST DELAP,39.265456,-86.569392
902212034,2014,3,1,Weekend,1600,1-Car,No injury/unknown,UNSAFE BACKING,DELAP RD,39.26374817,-86.57717895
902162041,2014,1,4,Weekday,1300,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,SR37 & WAYPORT,39.26307137,-86.52255833
902174178,2014,1,6,Weekday,1400,2-Car,No injury/unknown,UNSAFE SPEED,N WAYPORT & SR37N,39.263024,-86.52264
902277704,2014,8,2,Weekday,2100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37N & WAYPORT,39.263024,-86.52264
902304076,2014,9,1,Weekend,0,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37N & WAYPORT,39.263024,-86.52264
902305245,2014,9,3,Weekday,500,Moped/Motorcycle,No injury/unknown,UNSAFE LANE MOVEMENT,SR37N & WAYPORT,39.263024,-86.52264
902344238,2014,11,6,Weekday,1800,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,SR37N & WAYPORT,39.263024,-86.52264
902331129,2014,11,2,Weekday,1200,2-Car,No injury/unknown,TIRE FAILURE OR DEFECTIVE,SR37 & SR37N,39.26193629,-86.52270895
902363169,2014,12,4,Weekday,1600,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SR37 & WEST FULLERTON,39.26164302,-86.57353973
902351662,2014,12,5,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,MOUNT TABOR,39.26144131,-86.62067145
902231153,2014,5,6,Weekday,1800,1-Car,Non-incapacitating,UNSAFE LANE MOVEMENT,N WAYPORT & SR37N,39.26135336,-86.52291349
902157718,2014,1,4,Weekday,1600,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,DELAP & WOODALL RD,39.261296,-86.583248
902225610,2014,4,3,Weekday,300,1-Car,Incapacitating,RAN OFF ROAD RIGHT,N MT GILEAD RD & UPPER BIRDIE GALYAN,39.26059067,-86.42372019
902266134,2014,7,4,Weekday,2200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR37N & WAYPORT,39.26041222,-86.52349167
902274448,2014,8,6,Weekend,1900,1-Car,Non-incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,SR37N & WAYPORT,39.2597949,-86.52387837
902331062,2014,11,2,Weekday,800,Bus,Non-incapacitating,LEFT OF CENTER,CHAFIN CHAPEL & SR46W,39.25962636,-86.65763204
902291692,2014,9,5,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CHAFIN CHAPEL & SR46W,39.25962636,-86.65754537
902156574,2014,1,5,Weekday,100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,CHAFIN CHAPEL & SR46W,39.25960159,-86.64379365
902314607,2014,10,4,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,OLD ST RD 37 & S ROGERS,39.25766202,-86.53789982
902323467,2014,10,4,Weekday,1500,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,MILLER,39.255568,-86.469632
902163278,2014,1,7,Weekend,2000,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,EAST SPARKS & SR37N,39.25531635,-86.51507479
902230227,2014,5,2,Weekday,1500,2-Car,Incapacitating,LEFT OF CENTER,SR46W & W FLATWOODS,39.25516621,-86.65524513
902190642,2014,2,7,Weekend,0,2-Car,Fatal,LEFT OF CENTER,FLATWOODS & SR46W,39.25501235,-86.65516921
902292700,2014,8,4,Weekday,700,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,COWDEN & DELAP RD,39.254128,-86.592464
902344263,2014,11,7,Weekend,100,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,FLATWOODS & STARNES,39.25248,-86.659104
902249691,2014,6,1,Weekend,700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,FLATWOODS & SR46E,39.252448,-86.653904
902252408,2014,6,5,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,FLATWOODS & SR46W,39.252448,-86.653904
902169079,2014,1,7,Weekend,1200,2-Car,Fatal,LEFT OF CENTER,FLATWOODS & SR46W,39.25224102,-86.6536718
902293512,2014,9,1,Weekend,0,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,EAST WYLIE RD & SR37N,39.251648,-86.529056
902295609,2014,9,1,Weekend,0,1-Car,Incapacitating,RAN OFF ROAD RIGHT,EAST WYLIE RD & SR37N,39.251648,-86.529056
902324769,2014,10,5,Weekday,1700,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E SOUTHSHORE & N SHUFFLE CREEK,39.25137709,-86.40089632
902169364,2014,1,7,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,NORTH RICHARDSON & SOUTH SHORE DR,39.25128,-86.388368
902176838,2014,1,1,Weekday,2000,2-Car,No injury/unknown,UNSAFE BACKING,SR46W RD,39.2512,-86.652504
902201033,2014,3,3,Weekday,1800,2-Car,No injury/unknown,UNSAFE BACKING,W STATE ROAD 46 HWY,39.2512,-86.652504
902208108,2014,3,2,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,SR  46 HWY,39.2512,-86.652504
902229835,2014,4,3,Weekday,0,2-Car,No injury/unknown,UNSAFE BACKING,SR46W,39.2512,-86.652504
902265509,2014,7,3,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,W STATE ROAD 46 HWY,39.2512,-86.652504
902274662,2014,7,3,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,W STATE ROAD 46 RD,39.2512,-86.652504
902280872,2014,8,4,Weekday,1000,2-Car,No injury/unknown,UNSAFE BACKING,WEST STATE ROAD 46 RD,39.2512,-86.652504
902312183,2014,10,7,Weekend,2000,Cyclist,Non-incapacitating,HEADLIGHT DEFECTIVE OR NOT ON,SR46W,39.2512,-86.652504
902326781,2014,10,5,Weekday,2300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR46W,39.2512,-86.652504
902341025,2014,11,6,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,SR46W,39.2512,-86.652504
902250042,2014,6,1,Weekend,1100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E SOUTHSHORE DR & N RICHARDSON,39.25114131,-86.38886766
902330733,2014,11,1,Weekend,0,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37N & WALNUT,39.250688,-86.529744
902340552,2014,11,6,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,NORTH WALNUT,39.250688,-86.529744
902156471,2014,1,5,Weekday,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,FLATWOODS RD & SR46W,39.25037815,-86.65158204
902296283,2014,9,5,Weekday,2000,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,MATTHEWS & N MOUNT TABOR RD,39.250048,-86.621664
902357927,2014,12,1,Weekend,1000,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,E ROBINSON & HUDOFF,39.249248,-86.463888
902320737,2014,10,6,Weekend,2100,2-Car,Non-incapacitating,LEFT OF CENTER,SHUFFLE CREEK & SR45E,39.24893188,-86.40267296
902183264,2014,2,3,Weekday,1800,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,N UNION VALLEY RD & W MCNEELEY,39.24809403,-86.59277983
902232695,2014,5,5,Weekday,700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,N MAPLE GROVE & W MAPLE GROVE RD,39.24744,-86.547792
902241464,2014,5,5,Weekday,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,BOTTOM & W MAPLE GROVE RD,39.24744,-86.547792
902353750,2014,12,1,Weekday,1900,1-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,N BOTTOM & W MAPLE GROVE,39.24744,-86.547792
902328141,2014,10,5,Weekday,1700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N MAPLE GROVE & W MAPLE GROVE,39.24744,-86.547792
902335666,2014,11,1,Weekend,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N BOTTOM & W MAPLE GROVE,39.24744,-86.547792
902187347,2014,2,3,Weekday,900,1-Car,Non-incapacitating,UNSAFE SPEED,E ROBINSON & N OLD SR37 RD,39.24629637,-86.49941683
902171239,2014,1,3,Weekday,500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SHILO RD & TUNNEL,39.246208,-86.431904
902165863,2014,1,3,Weekday,1000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N RED HILL RD & W STATE 46,39.245744,-86.636896
902221446,2014,4,2,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,REDHILL & SR46W,39.24573911,-86.6367148
902211571,2014,4,3,Weekday,1400,2-Car,No injury/unknown,IMPROPER TURNING,RED HILL & SR46W,39.24570968,-86.63679967
902165513,2014,1,5,Weekday,2000,1-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,N MATTHEWS DR & W MAPLE GROVE,39.245408,-86.6204
902233545,2014,5,7,Weekend,1400,2-Car,No injury/unknown,UNSAFE BACKING,MAPLE GROVE RD,39.244848,-86.60839618
902157433,2014,1,4,Weekday,1600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N UNION VALLEY RD & W MAPLE GROVE,39.244752,-86.5928
902285273,2014,8,1,Weekend,600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,UNION VALLEY RD & W MAPLE GROVE RD,39.244752,-86.5928
902302248,2014,9,2,Weekday,1600,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,MATTEWS & SR46W,39.2437706,-86.6211142
902290748,2014,9,2,Weekday,1200,Moped/Motorcycle,Non-incapacitating,RAN OFF ROAD RIGHT,N PATHWAYS & SR45E,39.24370956,-86.38459777
902303791,2014,9,7,Weekend,700,Moped/Motorcycle,Non-incapacitating,RAN OFF ROAD RIGHT,N PATHWAYS & SR45E,39.24370956,-86.38454594
902307458,2014,10,4,Weekday,2000,2-Car,Incapacitating,LEFT OF CENTER,OLD 37 & ROBINSON RD,39.24355713,-86.49343967
902325166,2014,10,6,Weekend,2300,1-Car,Incapacitating,RAN OFF ROAD RIGHT,MAPLE GROVE & UNION VALLEY,39.24310411,-86.59278706
902200838,2014,3,3,Weekday,1400,2-Car,No injury/unknown,IMPROPER TURNING,N MATHEWS DR,39.242544,-86.622304
902278224,2014,8,7,Weekend,1500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,COUNTY LINE & WEST REEVES RD,39.24172799,-86.68436718
902337442,2014,11,3,Weekday,1000,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,N TUNNEL,39.24108891,-86.43607295
902192600,2014,2,2,Weekday,1500,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,1 & TEMPERANCE ST,39.24106979,-86.63207244
902184170,2014,2,5,Weekday,700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SR37N & WYLIE,39.24082118,-86.5226593
902319846,2014,10,5,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,NEHRT & ROBINSON,39.24065016,-86.4434028
902252986,2014,6,7,Weekend,1200,2-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,NEHRT & ROBINSON RD,39.24065016,-86.44322991
902281910,2014,8,2,Weekday,1100,1-Car,Incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,E ROBINSON RD & NEHRT,39.24065016,-86.44321262
902345904,2014,12,3,Weekday,800,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,E ROBINSON & N OLD STATE RD 37,39.24028002,-86.49909698
902262743,2014,7,7,Weekend,1100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,N RICHARDSON & SR45E,39.23984,-86.387696
902188890,2014,2,4,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,EAST DOLEN & OLD IN 37 HWY,39.23947404,-86.49948975
902279600,2014,8,3,Weekday,2100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,MAIN ST & TEMPERANCE,39.238848,-86.630096
902294069,2014,9,3,Weekday,1200,2-Car,No injury/unknown,LEFT OF CENTER,MCNEELY & RIDGEWAY DR,39.23765011,-86.60691976
902322127,2014,10,2,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,POPLAR & SR46W,39.23763013,-86.62949361
902157851,2014,1,7,Weekend,2000,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,N UNION VALLEY & W MCNEELY ST,39.23749936,-86.59283608
902358233,2014,12,7,Weekend,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,POPLAR & SR46W,39.23736097,-86.62936048
902157554,2014,1,7,Weekend,400,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,LENTZ RD & NEHRT,39.23712,-86.463408
902214327,2014,4,2,Weekday,1800,2-Car,No injury/unknown,UNSAFE BACKING,W REEVES RD,39.23645501,-86.67777494
902298012,2014,9,2,Weekday,1500,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,EDGEWOOD DR,39.2364,-86.631248
902310369,2014,10,1,Weekend,1400,Moped/Motorcycle,No injury/unknown,RAN OFF ROAD RIGHT,EDGEWOOD  PARKING LOT DR,39.2364,-86.631248
902163797,2014,1,6,Weekday,1400,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,EDGEWOOD & EDGEWOOD DR,39.236288,-86.628336
902206419,2014,3,5,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,DELAP & MATHEWS DR,39.23613303,-86.6206701
902194207,2014,2,6,Weekend,2300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,MAIN ST & MATTHEWS,39.236096,-86.625168
902184171,2014,2,5,Weekday,1400,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,ROBINSON & TUNNEL RD,39.235147,-86.436288
902236160,2014,5,3,Weekday,1500,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,CHANDLER & SR46W,39.23506165,-86.61779785
902246810,2014,6,1,Weekday,2200,1-Car,No injury/unknown,UNSAFE BACKING,MATTHEWS & SR46W,39.23496393,-86.62663149
902355626,2014,12,4,Weekday,0,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,MATTHEWS & SR46E,39.23496393,-86.62663149
902156848,2014,1,6,Weekday,700,2-Car,No injury/unknown,UNSAFE BACKING,ASSOCIATION ST & SALE,39.23489967,-86.62821765
902154812,2014,1,3,Weekday,1300,3+ Cars,No injury/unknown,ROADWAY SURFACE CONDITION,MATTHEWS & SR46W,39.234768,-86.626384
902277860,2014,8,6,Weekday,1300,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,MATTHEWS & SR46W,39.234768,-86.626384
902339075,2014,11,5,Weekday,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,MATTHEWS & SR46W,39.234768,-86.626384
902196443,2014,3,1,Weekend,1600,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,SR37S,39.23438854,-86.5415463
902234973,2014,5,5,Weekday,2000,2-Car,No injury/unknown,UNSAFE SPEED,ASSOCIATION & CHERRY ST,39.23418,-86.62702019
902357529,2014,12,4,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,WEST TEMPERANCE,39.23403394,-86.62519693
902345199,2014,11,4,Weekday,900,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,KELLI & SR46W,39.23389053,-86.61813355
902160492,2014,1,4,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N SALE & SR46E,39.23384,-86.624704
902182234,2014,2,3,Weekday,1700,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,S SALE & SR46W,39.23384,-86.624704
902234715,2014,5,3,Weekday,1900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SALE & SR46W,39.23384,-86.624704
902270822,2014,7,6,Weekday,1700,2-Car,No injury/unknown,IMPROPER TURNING,SALE & SR46W,39.23384,-86.624704
902272315,2014,7,7,Weekend,1100,2-Car,No injury/unknown,IMPROPER TURNING,NORTH SALE & SR46W,39.23384,-86.624704
902278901,2014,8,2,Weekday,1300,Moped/Motorcycle,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SALE & SR46W,39.23384,-86.624704
902278902,2014,8,2,Weekday,700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SALE & SR46W,39.23384,-86.624704
902324786,2014,10,6,Weekday,900,2-Car,No injury/unknown,IMPROPER TURNING,SALE & SR46E,39.23384,-86.624704
902296161,2014,9,7,Weekend,1300,2-Car,Non-incapacitating,IMPROPER LANE USAGE,NORTH SALE & SR46W,39.23384,-86.624704
902317969,2014,10,2,Weekday,1600,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,46 & SALE,39.23384,-86.624704
902359596,2014,12,6,Weekday,1400,2-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,SALE & SR46W,39.23384,-86.624704
902185945,2014,2,6,Weekday,1700,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BOTTOM & SR37,39.2338145,-86.54121076
902235571,2014,5,7,Weekend,1000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,FIFTH & SR46W,39.23377991,-86.62393951
902361543,2014,12,6,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR37N & SR46W,39.2336077,-86.62436717
902289737,2014,8,6,Weekday,600,Pedestrian,Fatal,PEDESTRIAN ACTION,FITH & SR46E,39.23343737,-86.62428439
902304389,2014,9,1,Weekday,2300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,ASSOCIATION & SALE ST,39.23320997,-86.62542404
902312181,2014,10,6,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ASSOCIATION ST & SALE,39.233056,-86.6256
902312014,2014,10,7,Weekend,1300,2-Car,No injury/unknown,UNSAFE BACKING,N TUNNEL RD,39.2326889,-86.43321991
902216812,2014,4,1,Weekend,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & SR45W,39.232688,-86.623056
902241586,2014,5,6,Weekend,1900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & SR45W,39.232688,-86.623056
902178198,2014,2,5,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,N WALNUT ST,39.232544,-86.540704
902213111,2014,4,6,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,N WALNUT ST,39.232544,-86.540704
902275546,2014,8,3,Weekday,0,2-Car,No injury/unknown,UNSAFE BACKING,N WALNUT ST,39.232544,-86.540704
902322265,2014,10,2,Weekday,1800,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,N WALNUT,39.232544,-86.540704
902188762,2014,2,3,Weekday,700,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,OAK & SALE ST,39.232512,-86.626224
902321500,2014,10,7,Weekend,1500,3+ Cars,Incapacitating,UNSAFE LANE MOVEMENT,2ND & SR46W,39.23220279,-86.62237172
902179380,2014,2,4,Weekday,1400,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N OLD STATE ROAD 37 RD & OLD MEYERS,39.23183978,-86.50635973
902335278,2014,11,7,Weekend,1900,1-Car,No injury/unknown,LEFT OF CENTER,E OLD MEYERS & N OLD SR 37,39.23183978,-86.50637703
902225333,2014,4,3,Weekday,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,DAISY & WILDFLOWER DR,39.23175998,-86.60598321
902350894,2014,12,3,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,1ST & VINE,39.231744,-86.620992
902171446,2014,1,2,Weekday,900,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,FENCELINE RD & GILMORE,39.231696,-86.67408
902180200,2014,2,7,Weekend,1400,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,FENCE LINE & GILMORE RD,39.23165962,-86.67299813
902199732,2014,3,7,Weekend,2200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N FLOYD & SR45E,39.23162842,-86.42171782
902209886,2014,3,6,Weekend,2100,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SHUFFLE CREEK & SR45E,39.23137841,-86.41023212
902350893,2014,11,3,Weekday,1500,3+ Cars,No injury/unknown,TIRE FAILURE OR DEFECTIVE,W REEVES,39.2313605,-86.64098947
902169363,2014,1,6,Weekend,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N LOUDEN & W REEVES RD,39.231344,-86.640096
902228973,2014,5,3,Weekday,800,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REEVES RD,39.23131742,-86.64016574
902226961,2014,5,6,Weekend,2200,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,N UNION VALLEY RD & W TANGLEWOOD,39.23120007,-86.59276977
902357358,2014,12,6,Weekday,600,2-Car,No injury/unknown,DRIVER ASLEEP OR FATIGUED,SALE & THOMAS,39.231152,-86.6308
902188763,2014,2,3,Weekday,700,1-Car,Non-incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,REEVES & THOMAS RD,39.2310157,-86.63077848
902324787,2014,10,6,Weekday,1000,2-Car,No injury/unknown,IMPROPER TURNING,1ST & SR46E,39.230884,-86.62051411
902162324,2014,1,5,Weekday,1000,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BOTTOM & SR37,39.23043218,-86.54352292
902160757,2014,1,5,Weekday,900,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BOTTOM & SR37,39.23041474,-86.54353454
902162713,2014,1,5,Weekday,2100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E BOLTINGHOUSE RD & E EARL YOUNG,39.23031025,-86.47342319
902248941,2014,6,4,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,BOLTINGHOUSE RD & EARL YOUNG,39.23031025,-86.4733886
902312667,2014,10,1,Weekend,1400,2-Car,No injury/unknown,UNSAFE BACKING,W SUSAN DR,39.229952,-86.636784
902357530,2014,12,7,Weekend,900,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,HARTSTRAIT & SR46W,39.22766271,-86.61593307
902272316,2014,7,2,Weekday,1400,1-Car,Non-incapacitating,DRIVER ILLNESS,HARTSTRAIT & SR46W,39.22766271,-86.61603701
902262491,2014,7,4,Weekday,900,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,HARTSTRAIT & SR46W,39.22766271,-86.61593307
902300080,2014,9,6,Weekend,2100,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,HARTSTRAIT RD & SR46W,39.22766271,-86.61593307
902304056,2014,9,7,Weekend,400,1-Car,Non-incapacitating,UNSAFE SPEED,HART STRAIT & SR46W,39.22766271,-86.61588976
902362485,2014,12,3,Weekday,700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,PARK & SR46E,39.22729874,-86.61971283
902349109,2014,12,1,Weekend,1800,1-Car,No injury/unknown,UNSAFE SPEED,PARK & SR46W,39.22729874,-86.61971673
902173141,2014,1,5,Weekday,900,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,PARK & SR46W,39.22729874,-86.61971282
902320701,2014,10,6,Weekday,1800,Cyclist,Incapacitating,PEDESTRIAN ACTION,PARK & SR46W,39.22729874,-86.61971282
902334935,2014,11,2,Weekday,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,RUSSELL & SERENDIPITY,39.22679008,-86.48208976
902350318,2014,12,5,Weekday,600,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,E MOFFETT & S FAIRFAX,39.22659367,-86.51785031
902271350,2014,7,1,Weekend,1200,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,EARL YOUN & SR45E,39.22644043,-86.45610402
902328666,2014,11,5,Weekday,1100,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,N DUNN & SR37N,39.22595786,-86.5283432
902184822,2014,2,6,Weekday,1400,2-Car,No injury/unknown,LEFT OF CENTER,ENDWRIGHT RD & SR46W,39.22552665,-86.61279402
902251817,2014,6,2,Weekday,900,1-Car,No injury/unknown,UNSAFE SPEED,SR45 & TUNNEL,39.22520774,-86.4402747
902253566,2014,6,6,Weekday,700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BOTTOM & SR37,39.22494974,-86.54723454
